namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	916	143	814	73	70	957	482	475	48	61	13	48	40	177	24	71	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	697	172	529	112	60	701	417	284	39	37	16	17	22	232	24	30	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	216	829	128	88	1040	538	507	60	63	36	37	19	274	13	35	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	230	587	135	95	804	503	314	52	46	14	49	25	281	8	28	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	681	183	502	114	69	685	405	280	31	28	16	42	17	236	6	29	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1002	237	765	113	124	996	585	417	78	38	24	60	25	317	7	36	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	834	193	646	106	87	839	454	385	65	44	19	35	27	221	19	24	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	224	718	104	120	899	545	397	67	38	29	47	31	296	11	26	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	759	171	647	81	90	818	418	400	69	30	13	40	14	221	7	24	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	620	131	489	58	73	536	309	311	32	27	23	33	11	162	4	17	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	359	85	278	39	46	363	183	180	18	5	10	8	11	114	1	15	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	28	293	27	1	321	119	202	3	1	3	0	0	4	7	7	94
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	123	212	38	85	335	231	104	31	17	43	21	6	106	1	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	733	104	644	51	53	748	413	335	20	2	7	2	8	31	147	4	192
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	292	116	189	12	2	1	4	1	54	21	7	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	89	34	17	138	78	62	5	2	7	1	2	51	4	6	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	492	236	265	14	0	0	0	1	10	47	4	160
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	89	12	10	111	59	52	11	7	2	0	3	29	3	4	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	715	83	184	982	553	429	82	50	19	86	37	260	2	17	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	800	66	47	903	439	474	32	10	1	8	9	53	147	5	174
