namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	784	224	746	112	112	970	495	475	43	0	117	105	127	103
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	227	538	104	123	765	388	377	33	1	100	80	79	95
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	620	193	550	65	128	743	356	387	25	0	105	85	74	67
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	266	457	92	174	619	302	421	23	0	70	75	72	62
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	756	171	585	65	106	712	376	380	29	1	116	69	84	77
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	777	231	546	100	131	749	299	478	19	0	69	74	78	59
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	181	582	87	94	761	351	412	20	1	95	71	84	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	174	577	51	123	738	286	465	23	0	70	69	51	73
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	953	294	659	97	197	730	297	656	24	1	55	59	90	68
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	984	249	735	71	178	930	475	509	30	0	85	104	121	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	668	178	785	64	114	963	389	574	38	2	65	91	79	114
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	942	278	664	79	199	636	275	667	17	0	56	60	60	82
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1062	324	738	96	228	919	341	721	33	0	60	89	72	87
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	925	278	747	87	191	1025	432	593	34	0	69	128	78	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1046	285	761	69	216	879	347	699	24	1	81	95	59	87
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	882	236	778	78	158	1014	472	542	35	0	62	137	115	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	798	222	628	71	151	850	375	475	28	2	59	92	81	113
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	817	200	617	55	145	776	357	460	25	0	68	105	58	101
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	988	267	721	79	188	799	298	690	26	1	51	78	58	84
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1063	330	733	116	214	969	418	645	32	0	56	111	82	137
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	886	261	754	81	180	1015	429	586	50	0	71	94	90	124
