namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	621	150	589	19	43	56	32	739	117	622	32	9	10	31	3	14	10	8	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	222	501	25	81	74	42	610	90	633	21	4	1	20	1	12	9	22	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	755	183	572	26	49	60	48	724	130	625	23	4	2	43	4	26	14	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	776	199	577	30	36	80	53	743	108	668	29	3	9	22	1	19	8	17	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	177	591	31	28	82	36	768	127	641	17	12	8	31	6	19	13	20	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	139	619	23	50	38	28	758	100	658	10	8	8	36	2	16	7	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	955	239	716	30	73	95	41	744	76	879	17	1	7	18	2	18	9	4	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	986	199	787	16	58	80	45	936	145	841	35	12	19	22	4	26	13	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	666	134	840	18	43	53	20	974	91	883	21	8	7	20	1	8	11	15	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	940	176	764	24	61	63	28	643	79	861	13	4	3	18	0	26	9	6	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1065	243	822	35	93	82	33	928	99	966	22	5	5	20	0	21	13	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	922	248	787	28	66	108	46	1035	114	921	40	3	8	19	0	22	16	6	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1048	217	831	42	69	64	42	883	113	935	26	11	17	24	0	13	15	7	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	881	191	829	25	51	67	48	1020	120	900	34	8	9	18	1	23	12	15	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	799	192	670	32	58	65	37	862	105	757	25	10	14	19	5	10	11	11	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	820	151	669	25	43	49	34	798	122	698	28	14	22	16	1	22	10	9	0		
