namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	475	19	27	54	46	614	135	486	13	12	51	56	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	298	8	23	18	20	367	64	303	16	7	21	20	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	219	42	1	48	3	291	64	249	22	0	2	6	34
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	240	24	13	50	11	338	50	288	1	12	25	12	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	578	48	22	52	34	726	276	458	51	12	15	43	155
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	303	99	206	29	4	46	20	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	136	38	104	2	1	10	1	24
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	478	211	290	194	1	3	13	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	79	4	8	17	4	112	45	67	10	2	18	14	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	757	21	69	112	24	981	196	787	24	30	65	75	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	730	31	19	108	38	926	193	733	131	5	20	35	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	479	57	7	44	32	608	180	439	92	7	9	36	36
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	209	6	1	15	5	236	57	179	22	4	18	12	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	307	72	239	6	2	50	12	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	118	6	10	32	5	171	92	79	45	1	8	23	15
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	413	17	44	84	23	581	107	474	24	3	51	29	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	725	22	22	110	32	911	229	682	32	26	98	70	3
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	277	88	199	12	2	67	6	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	489	17	36	86	9	630	169	468	42	9	71	34	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	692	26	72	85	45	920	225	695	41	41	61	72	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	791	112	961	14	12	47	37	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	673	24	79	99	58	933	253	680	42	35	88	78	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	720	28	95	89	72	1004	288	716	47	44	71	116	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	657	29	59	121	40	906	230	676	28	22	108	66	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	546	12	62	60	35	715	172	543	18	19	66	56	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	749	18	64	116	28	975	221	754	31	26	104	47	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	710	19	68	80	53	930	228	702	24	25	96	74	9
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	712	44	78	92	21	947	234	713	30	24	94	72	14
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	543	39	46	111	37	776	252	524	24	20	104	88	16
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	496	18	49	74	25	662	149	513	18	16	57	53	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	633	17	50	59	26	785	148	637	23	24	46	53	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	567	24	52	99	44	786	195	591	26	17	67	68	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	818	212	642	37	31	87	49	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1037	187	854	27	40	48	64	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	846	25	124	69	34	1098	193	905	29	52	46	60	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	997	192	828	29	26	58	74	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	816	29	118	49	25	1037	163	874	19	47	50	46	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	643	74	571	16	12	17	26	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	688	34	61	40	25	848	189	659	56	30	58	40	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	162	14	16	26	13	231	59	172	10	9	9	30	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	71	1	2	12	1	80	35	52	2	2	26	5	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	683	23	44	51	24	825	230	595	38	31	71	86	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	783	33	48	72	20	956	236	720	42	32	87	70	5
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1029	285	767	9	17	157	102	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	30	0	1	10	0	38	16	25	2	0	9	0	5
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	124	13	20	59	1	217	88	129	21	8	44	13	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	215	94	133	70	5	4	10	5
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1120	334	820	68	13	50	201	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	314	9	24	77	11	435	83	352	20	14	24	23	2
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	109	11	17	26	13	174	61	115	11	10	21	18	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	448	90	397	13	23	42	12	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	623	49	60	78	18	791	186	642	33	24	63	62	4
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	2	1	32	2	103	62	47	2	2	36	22	0
