namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	vuc2_09_votersreg	vuc2_09_votersvalid	vuc2_09_nevolici	vuc2_09_manka	vuc2_09_mikus
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	215	71	156	12	59
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1 118	187	970	56	131
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	298	63	74	435	56	379	30	26
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	108	24	44	175	37	139	20	17
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	362	43	76	447	57	424	48	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	790	141	688	69	72
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	31	6	103	63	46	36	27
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	194	27	184	26	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	403	118	348	99	19
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	942	104	129	1 175	185	990	132	53
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	430	43	39	512	83	429	58	25
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	150	11	11	172	22	150	15	7
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	159	21	27	207	30	177	19	11
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	754	91	682	21	70
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	350	55	8	401	69	344	10	59
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	858	100	825	67	33
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	289	22	34	341	48	297	30	18
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	310	102	223	17	85
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	250	44	24	318	31	287	20	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	434	97	365	62	35
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	174	37	47	236	54	204	33	21
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	80	28	21	123	32	97	21	11
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	17	1	6	24	9	15	7	2
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	246	58	55	344	68	291	56	12
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	42	7	12	61	12	49	10	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	651	60	143	786	105	749	38	67
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	855	74	266	1 195	148	1047	83	65
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1 173	211	983	90	121
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	614	69	220	903	117	786	63	54
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	89	13	35	137	74	63	23	51
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	464	39	44	547	73	474	54	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	336	36	305	26	10
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	108	40	32	180	68	112	36	32
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	409	26	45	466	47	433	25	22
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	467	99	368	37	62	460	43	424	33	10
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	614	129	485	58	71	612	87	527	61	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	76	313	33	43	375	40	349	28	12
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1173	326	857	140	186	1 183	279	904	173	106
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	404	845	192	212	1 249	280	969	185	95
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	249	653	79	170	902	156	746	67	89
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1020	308	712	162	146	989	237	783	129	108
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	660	178	482	86	92	658	133	527	85	48
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1027	249	795	139	110	1 044	189	855	121	68
